iter	Passed	Remaining
0	16	16386
1	19	9755
2	22	7481
3	25	6352
4	28	5736
5	33	5476
6	36	5208
7	40	4971
8	43	4799
9	47	4653
10	50	4548
11	53	4411
12	56	4292
13	59	4218
14	62	4129
15	66	4113
16	69	4047
17	73	3983
18	76	3928
19	79	3871
20	82	3839
21	85	3798
22	88	3754
23	91	3712
24	94	3684
25	97	3669
26	100	3636
27	103	3609
28	107	3602
29	110	3588
30	114	3590
31	118	3576
32	121	3561
33	124	3538
34	127	3520
35	131	3512
36	134	3501
37	137	3485
38	140	3465
39	143	3445
40	146	3436
41	149	3420
42	153	3408
43	156	3394
44	159	3378
45	162	3367
46	165	3357
47	168	3348
48	172	3339
49	175	3325
50	177	3310
51	181	3302
52	184	3292
53	187	3277
54	189	3263
55	192	3251
56	196	3248
57	199	3237
58	202	3225
59	205	3218
60	208	3207
61	211	3197
62	214	3196
63	217	3182
64	220	3173
65	223	3162
66	226	3153
67	229	3148
68	232	3139
69	235	3131
70	238	3122
71	241	3112
72	244	3108
73	247	3101
74	250	3090
75	253	3084
76	256	3073
77	259	3067
78	262	3064
79	265	3056
80	268	3049
81	271	3042
82	274	3036
83	278	3034
84	281	3025
85	284	3019
86	287	3012
87	290	3008
88	293	3004
89	296	2997
90	299	2990
91	302	2985
92	305	2976
93	308	2971
94	311	2966
95	314	2960
96	317	2953
97	320	2945
98	322	2938
99	326	2938
100	329	2936
101	333	2933
102	336	2930
103	339	2926
104	343	2923
105	346	2919
106	349	2913
107	352	2909
108	355	2902
109	358	2896
110	361	2894
111	364	2889
112	367	2885
113	370	2880
114	373	2874
115	376	2870
116	379	2866
117	383	2864
118	386	2861
119	389	2859
120	393	2861
121	397	2857
122	400	2853
123	403	2848
124	406	2843
125	409	2841
126	413	2839
127	415	2833
128	418	2829
129	421	2822
130	425	2821
131	428	2818
132	431	2814
133	434	2810
134	438	2806
135	441	2805
136	444	2802
137	448	2798
138	451	2795
139	454	2789
140	457	2785
141	460	2784
142	463	2780
143	466	2775
144	469	2771
145	472	2766
146	476	2762
147	478	2757
148	481	2751
149	484	2745
150	487	2740
151	491	2740
152	494	2736
153	497	2730
154	499	2725
155	503	2722
156	506	2719
157	509	2716
158	512	2711
159	515	2707
160	518	2704
161	522	2701
162	525	2696
163	528	2693
164	531	2689
165	534	2687
166	537	2683
167	541	2680
168	544	2676
169	547	2672
170	550	2669
171	553	2664
172	556	2661
173	559	2657
174	563	2654
175	566	2653
176	570	2650
177	573	2648
178	576	2644
179	579	2640
180	582	2637
181	585	2631
182	588	2629
183	591	2625
184	594	2620
185	597	2616
186	600	2611
187	603	2607
188	607	2604
189	609	2600
190	613	2597
191	616	2593
192	619	2589
193	622	2587
194	625	2583
195	629	2580
196	631	2575
197	634	2571
198	637	2567
199	641	2564
200	644	2560
201	647	2558
202	650	2554
203	653	2551
204	657	2548
205	660	2545
206	663	2541
207	667	2539
208	670	2538
